area label,area long label,area,"KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population"
area label,area long label,area,12019,12019,12019,12019,12019,12019
area label,area long label,area,"Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people"
area label,area long label,area,raw,raw,raw,raw,raw,raw
Stockport,Stockport (Metropolitan borough),E08000007,18.8,18.6,19,21.5,20.6,21.8
Stockton-on-Tees,Stockton-on-Tees (Unitary),E06000004,31.3,29.1,28.5,27.8,27.7,25.1
Stoke-on-Trent,Stoke-on-Trent (Unitary),E06000021,21.9,18.3,18.2,23.4,25.4,27.3
Stratford-on-Avon,Stratford-on-Avon (District),E07000221,74.2,75.9,76.9,80.9,75.1,78.5
Stroud,Stroud (District),E07000082,32.6,35.9,32.4,35.4,36,40.1
Suffolk,Suffolk (County),E10000029,44.5,40.5,33.2,33.7,36,39.2
Sunderland,Sunderland (Metropolitan borough),E08000024,29,29.1,26,28.1,30.2,32.3
Surrey,Surrey (County),E10000030,51.1,55.1,57.6,55.9,50.1,57
Surrey Heath,Surrey Heath (District),E07000214,42.3,48.2,50.9,48.3,43.2,51.1
Sutton,Sutton (London borough),E09000029,20.3,17.4,13.8,13.5,18.7,26.4
Swale,Swale (District),E07000113,34.4,35.7,37.9,42.3,45.5,50
Swindon,Swindon (Unitary),E06000030,34.4,33.2,32.7,34.2,32.9,31.6
